0.741	3.004	0	0	-0.05	-0.14
0.235	3.077	0	1	0.02	4.82
0.256	3.076	1	0	6.08	-0.18
0.444	3.179	1	0	2.44	0.58
0.740	3.134	0	1	-0.05	2.09
0.315	3.106	0	1	-0.13	1.10
0.208	3.123	0	1	0.05	23.79
0.508	3.054	1	0	25.12	-0.20
0.354	3.084	0	1	0.02	32.91
0.775	3.132	0	1	-0.02	12.42
0.369	3.129	0	0	-0.02	-0.41
0.271	3.127	0	1	0.13	0.86
0.372	3.118	0	0	0.05	-0.03
0.866	3.104	1	0	2.06	0.16
0.919	3.072	0	1	-0.05	14.20
0.416	3.019	0	0	-0.05	0.06
0.957	3.041	1	0	9.69	0.19
0.498	3.027	0	1	0.07	1.04
0.254	3.106	0	0	-0.05	0.15
0.441	3.107	0	0	-0.21	0.21
0.266	3.096	0	0	0.07	0.19
0.451	3.091	0	1	0.07	10.08
0.436	3.075	0	0	-0.01	0.10
0.518	3.085	0	0	0.07	0.00
0.399	3.073	0	1	-0.01	2.62
0.904	3.129	0	0	0.14	0.08
0.752	3.099	1	0	1.12	-0.10
0.896	3.140	0	1	-0.01	1.78
0.328	3.032	0	0	0.26	0.06
0.375	3.139	0	0	0.11	-0.14
0.221	3.043	1	1	2.24	1.13
0.373	3.113	0	0	0.07	0.13
0.399	3.106	1	0	3.91	0.15
0.297	3.078	0	1	0.03	18.64
0.352	3.093	1	0	7.61	-0.02
0.475	3.099	0	1	-0.01	10.96
0.253	3.087	0	0	0.03	-0.26
0.449	3.026	1	1	41.29	18.56
0.694	3.115	0	1	0.03	21.42
0.277	3.113	0	0	0.11	0.04
0.284	3.059	0	1	0.11	1.09
0.381	3.120	0	0	-0.17	-0.14
0.643	3.198	1	0	17.59	0.08
0.709	3.060	0	1	1.00	3.21
0.599	3.122	1	1	0.80	1.10
0.580	3.098	1	0	26.23	0.08
0.223	3.099	0	0	-0.09	-0.06
0.271	3.099	1	1	17.03	13.89
0.367	3.152	0	0	-0.00	0.08
0.335	3.112	0	1	-0.13	8.22
0.284	3.150	0	0	0.08	0.11
0.506	3.181	1	1	8.75	16.74
0.391	3.083	1	0	5.71	0.13
0.292	3.100	1	0	0.88	-0.13
0.331	3.116	1	0	8.38	-0.04
0.304	3.081	1	0	3.13	-0.04
0.498	3.167	1	1	21.75	2.70
0.270	3.010	1	1	13.94	14.90
0.520	3.044	1	0	4.93	0.02
0.202	3.023	1	0	0.92	-0.10
0.789	3.116	1	0	19.26	-0.10
0.672	3.080	0	1	-0.01	0.70
0.787	3.081	1	0	18.21	0.04
0.729	3.094	1	0	10.64	-0.02
0.304	3.153	1	1	1.82	1.17
0.306	3.038	0	0	-0.01	0.04
0.540	3.132	0	1	0.03	5.50
0.460	3.103	1	0	0.62	0.13
0.706	3.117	0	1	0.03	15.93
